"X","Y","vx","vy","R_squared","Assignment","qsum","sf","vx.u","vy.u"
434.339412752,371.392597828,-1.00913952202173e-17,1.01356133241787e-17,0.506727618147398,"Epithelial",1.43026890810047e-17,645196148135225600,-6.51092932539441,6.53945867574814
217.132119456,64.127044212,-0.059298845544619,-0.108050943267126,0.533182917225091,"Endothelial",0.123253232914355,74.8705708145789,-4.43973841457117,-8.0898357994634
124.972750308,437.673372556,-0.0246868030681006,0.0159421436758931,0.126401216717305,"Fibroblast",0.0293869050889337,314.018773842061,-7.75211962952539,5.00613240951792
402.473221976,130.10712358,-0.0587403273144468,0.0628369322375082,0.399970840514725,"T",0.0860168943058836,107.281714569051,-6.3017630286411,6.74125382869913
76.515693044,326.393537204,0.0554437555216325,0.0688233882935154,0.321429938606125,"Fibroblast",0.0883779882241192,104.415591353341,5.78919251964132,7.18623478760801
103.089645484,354.591244588,0.074856414856858,0.0891157035817934,0.553196246047286,"B/Plasma",0.116383381417194,79.2900136657885,5.9353661569722,7.06598535483676
203.942869228,523.555726064,0.0360227633232614,0.0621809668190509,0.259531183372348,"Fibroblast",0.0718617569503809,128.413780773712,4.62581923225661,7.98489304139908
60.311971832,453.140390136,-0.111754126414026,-0.042252665513924,0.58016832255387,"Fibroblast",0.119474986978839,77.2382582864349,-8.63169408054146,-3.26352229225481
419.838379016,438.011654836,0.0102418110689283,0.0458637891176133,0.145616496119589,"Fibroblast",0.0469934234355886,196.368751803928,2.0111716558171,9.00621502202431
487.788012992,338.891188104,2.53901895592515e-18,1.05813696772359e-17,0.506979604750411,"Tumor",1.08817278731309e-17,848030754915843328,2.15316616193884,8.97332691542998
518.037966208,391.930090916,0.0251798054404689,0.0385346915578772,0.135331342992847,"Endothelial",0.0460320003419426,200.470104155604,5.04779821926863,7.7250536302117
153.93723086,314.888180992,-1.32883559189635e-17,-3.47238268650816e-18,0.506722532965409,"Epithelial",1.37345493027844e-17,671885163437378048,-8.92824918842686,-2.33304240884166
210.821275588,376.523212408,0.00935244382812072,-0.059167668697966,0.230775004169116,"Fibroblast",0.0599022639364358,154.051605008321,1.44075898247216,-9.11487432752226
347.5850427,478.289798308,-0.0155552936227917,-0.0751836611554868,0.164363863750396,"Myeloid",0.076775973223622,120.19437221801,-1.86965875165826,-9.03665295363533
123.976696928,287.344486016,-1.34250665373758e-17,3.40659371206128e-18,0.506729984210471,"Tumor",1.38505340060239e-17,666258780999096320,-8.94456846602379,2.26967297395714
58.500282288,432.86976418,-0.117033110564963,-0.00357506861386633,0.52285047247773,"Fibroblast",0.117087702531498,78.8130581053764,-9.22373734320935,-0.281762090395354
336.613420752,278.902463784,0.0524434377785067,-0.0694917360177813,0.258856725406716,"Endothelial",0.0870598388511782,105.996519460765,5.55882187307892,-7.36588214917113
514.6589021,501.725242928,0.0497971923288375,0.0705197887902148,0.267563165806545,"Fibroblast",0.0863296065950247,106.893107324456,5.32297662406298,7.53807935165037
392.336029652,463.405377988,0.0330562148967539,0.0308188687909325,0.0618847888002245,"Fibroblast",0.0451942033545574,204.186360596827,6.74962821487481,6.29279265613166
128.870513912,60.556286812,0.0351069342647159,-0.120828227670934,0.561473198160963,"Endothelial",0.125825106539062,73.3402113208243,2.57474997780055,-8.86156775090698
277.680888884,488.509681856,0.0178769005192784,0.0163395512177703,0.134759388078045,"Epithelial",0.0242190938347065,381.023334977795,6.81151625492173,6.22575029703534
482.431876892,145.412517404,5.23684269999466e-17,-4.96813000396838e-18,0.505119122716399,"Tumor",5.26035594060428e-17,175426150002692512,9.18679153029769,-0.871539919309035
323.168579468,477.553094676,0.059621227930998,-0.0864975372454681,0.349774490612278,"Myeloid",0.105054817926315,87.8402350810082,5.23714267727724,-7.59796400557017
480.026314012,189.847774228,-0.136902483676037,0.021603623507726,0.619434310023983,"Fibroblast",0.138596560510465,66.58202677651,-9.11524483388861,1.43841303886105
85.825973128,461.067471564,0.0121536336032613,-0.0872085822500803,0.315372973113281,"Myeloid",0.088051391969868,104.802884958343,1.27373586434844,-9.13971101293532
126.036460144,343.555724876,0.0424114428185444,0.0936610063370713,0.391215918598221,"B/Plasma",0.10281592576067,89.7530206022812,3.80655510106528,8.40635823140154
58.376245452,472.087956508,-0.0600402241964518,-0.0196061306843327,0.189905462524079,"Fibroblast",0.063160342636589,146.104969001453,-8.77217509506289,-2.86455311587286
428.588613992,519.086641276,-0.00569595041296117,0.0196462015492658,0.0654378266686038,"Tumor",0.0204552459389098,451.133168019579,-2.5696321546816,8.86305314447143
244.018043332,112.580342784,0.027834622095789,0.0115395600174819,0.0410743104864396,"Tumor",0.0301318375246591,306.255464688738,8.52450512438126,3.53405331545749
112.174404048,221.939486524,0.0532134937494649,0.0460214521068521,0.259837548888987,"Epithelial",0.070353748805928,131.166285516579,6.97981631447698,6.0364629269349
501.39071934,203.64593256,-0.111843311444311,0.0175290452895874,0.487995688214175,"Fibroblast",0.113208629280605,81.5135733175153,-9.1167479674895,1.42885511839883
134.59876052,479.53392536,-0.011552757934643,-0.0419010257902148,0.15620878710721,"Epithelial",0.0434644933039453,212.312147262565,-2.45279084390869,-8.89609675802462
246.239430304,457.034395048,0.0847458935241181,-0.0305378845671992,0.156542979246756,"Fibroblast",0.0900801246837545,102.442574712646,8.68158752893443,-3.12837952134147
266.701749552,403.510620968,0.0163238142253729,-0.0519686006741912,0.247794160042747,"B/Plasma",0.0544720328875106,169.408766551759,2.76539723334047,-8.80393653963563
285.765835376,208.145086884,-0.050085167247628,0.0854679196200836,0.346551848004945,"Endothelial",0.0990620475379342,93.1541405855383,-4.66564071103574,7.96169059984275
136.286413228,201.10881546,0.0074374862726396,-0.0617386871163192,0.229981082601851,"T",0.0621850600136597,148.396413881613,1.10369629115344,-9.16179976582072
449.874086788,109.347867664,0.137974387982686,-0.0396038933634849,0.658657720700612,"Myeloid",0.143545811881583,64.2863750748268,8.8698732565746,-2.54599074318844
158.582974172,384.841197804,0.0359667058998774,-0.0116231945942886,0.0547106532411902,"B/Plasma",0.0377981823090076,244.139779728003,8.78090365593792,-2.83768416798533
108.1563623,300.35707772,-1.06575013878105e-17,3.2326131676368e-18,0.506981371367504,"Epithelial",1.11369710299866e-17,828595125029349120,-8.83075369493329,2.67852751180954
514.046235304,461.199025784,-0.00758231891817826,0.0969405322570683,0.216183524719219,"Myeloid",0.0972366101551297,94.9029371583166,-0.719584335806187,9.19994124088632
391.26104374,335.297878552,-0.0226784962413091,-0.00809975129568445,0.0694759400359622,"Myeloid",0.0240815315712895,383.199875627589,-8.6903969390904,-3.10382368912068
402.59350012,318.346177632,0.00157164422813196,-0.109704792954964,0.465140052764375,"Myeloid",0.109716050160728,84.1083860521907,0.13218845947642,-9.22709307763175
379.89100044,143.100921824,0.077032636577069,0.015010152278756,0.260582070925509,"Myeloid",0.0784814103431267,117.582493264256,9.05768947145109,1.76493112921228
477.981585564,240.165384032,-0.0525860177321783,0.0101885504499669,0.256918984721067,"B/Plasma",0.0535639414270504,172.280822829437,-9.05956240422303,1.75529185495952
314.6025204,344.190943824,0.044088638218048,-0.0898166778815243,0.357471604920405,"Endothelial",0.10005420353786,92.2304068868851,4.06631304193924,-8.28382874624128
451.114455148,298.244692816,-0.0645074338006431,-0.0258961391275989,0.354013224716833,"T",0.0695112871213037,132.755992374824,-8.56374838975765,-3.43786764856091
336.605903368,393.283220036,-0.075179203992766,0.0526491244294421,0.276399842437204,"Myeloid",0.0917814960445339,100.543576872645,-7.55878607587096,5.29353128934909
371.990229856,481.635034188,-0.00588807489308327,-0.0607583847367374,0.108116056566774,"Myeloid",0.0610430236944728,151.172719576071,-0.890116294654983,-9.18501025770185
77.338846592,417.248640228,-0.0719020273795043,-0.0245611360721672,0.345730580937795,"Fibroblast",0.0759812539146236,121.451534787898,-8.73261157960225,-2.98298767209911
249.637287872,339.398611524,0.0208045951848612,0.108054759129099,0.345492154425969,"Tumor",0.110039366370647,83.861259905451,1.74469956402534,9.06160823934628
427.866945128,396.86149482,0.0126652764700038,0.114679740798534,0.529182351223636,"Tumor",0.115377000210963,79.9816244673274,1.01298938639873,9.17227196255879
263.232476836,542.056008088,1.0411510504071e-17,3.93517130109308e-17,0.501345950649907,"Fibroblast",4.0705735073464e-17,226701222478494080,2.36030215912058,8.92108144620086
