"vx","vy","rsquared","fctr","grid","X","Y","qsum","sf","vx.u","vy.u"
-1.00913952202173e-17,1.01356133241787e-17,0.506727618147398,"Epithelial","grid_1",434.339412752,371.392597828,1.43026890810047e-17,645196148135225600,-6.51092932539441,6.53945867574814
0.0675387974647532,0.0843249265396268,0.416975451798538,"T","grid_2",217.132119456,64.127044212,0.108037874835163,85.4148595306924,5.76881689832378,7.20260175531818
0.0675387974647532,0.0843249265396268,0.416975451798538,"B/Plasma","grid_2",217.132119456,64.127044212,0.108037874835163,85.4148595306924,5.76881689832378,7.20260175531818
-0.059298845544619,-0.108050943267126,0.533182917225091,"Endothelial","grid_2",217.132119456,64.127044212,0.123253232914355,74.8705708145789,-4.43973841457117,-8.0898357994634
-0.0675387974647532,-0.0843249265396268,0.416975451798538,"Tumor","grid_2",217.132119456,64.127044212,0.108037874835163,85.4148595306924,-5.76881689832378,-7.20260175531818
-0.0587403273144468,0.0628369322375082,0.399970840514725,"T","grid_4",402.473221976,130.10712358,0.0860168943058836,107.281714569051,-6.3017630286411,6.74125382869913
-0.0587403273144468,0.0628369322375082,0.399970840514725,"B/Plasma","grid_4",402.473221976,130.10712358,0.0860168943058836,107.281714569051,-6.3017630286411,6.74125382869913
0.0619593796284663,-0.0667724088006592,0.311495008802206,"Fibroblast","grid_4",402.473221976,130.10712358,0.0910907201694374,101.30603738641,6.27685922908015,-6.7644481423402
0.0587403273144468,-0.0628369322375082,0.399970840514725,"Tumor","grid_4",402.473221976,130.10712358,0.0860168943058836,107.281714569051,6.3017630286411,-6.74125382869913
0.044885572698241,-0.056867189473553,0.37723549433664,"Epithelial","grid_4",402.473221976,130.10712358,0.0724471660941273,127.376133540551,5.71735070205524,-7.24352272045909
0.0554437555216325,0.0688233882935154,0.321429938606125,"Fibroblast","grid_5",76.515693044,326.393537204,0.0883779882241192,104.415591353341,5.78919251964132,7.18623478760801
0.074856414856858,0.0891157035817934,0.553196246047286,"B/Plasma","grid_6",103.089645484,354.591244588,0.116383381417194,79.2900136657885,5.9353661569722,7.06598535483676
-0.057357242296792,-0.0660008147075076,0.46240100423312,"Fibroblast","grid_6",103.089645484,354.591244588,0.0874411847240627,105.534250618411,-6.05315358333057,-6.96534652036141
-0.111754126414026,-0.042252665513924,0.58016832255387,"Fibroblast","grid_8",60.311971832,453.140390136,0.119474986978839,77.2382582864349,-8.63169408054146,-3.26352229225481
0.0503035906854953,-0.0401524487709252,0.342528774217753,"Myeloid","grid_10",487.788012992,338.891188104,0.064363579594019,143.373627775941,7.21220828673547,-5.75680224437515
-0.0503035906854952,0.0401524487709252,0.342528774217753,"Fibroblast","grid_10",487.788012992,338.891188104,0.064363579594019,143.373627775941,-7.21220828673547,5.75680224437516
2.53901895592515e-18,1.05813696772359e-17,0.506979604750411,"Tumor","grid_10",487.788012992,338.891188104,1.08817278731309e-17,848030754915843328,2.15316616193884,8.97332691542998
2.53901895592515e-18,1.05813696772359e-17,0.506979604750411,"Epithelial","grid_10",487.788012992,338.891188104,1.08817278731309e-17,848030754915843328,2.15316616193884,8.97332691542998
